Imagen,Tipos de Daño,Piezas del Vehículo,Sugerencia,Tipos de Daño_encoded,Piezas del Vehículo_encoded,Sugerencia_encoded
20.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
20.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
21.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
21.jpg,Abolladura,Capó ,Reparar,1,3,1
21.jpg,Desprendimiento,Parachoques delantero,Reemplazar,3,33,2
21.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
22.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
23.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
24.jpg,Rotura,Rueda ,Reemplazar,6,40,2
25.jpg,Deformación,Guardabarros delantero derecho ,Reparar,2,11,1
26.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
26.jpg,Rotura,Guardabarros delantero derecho ,Reparar,6,11,1
26.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
27.jpg,Rotura,Rueda ,Reparar,6,40,1
28.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
28.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
29.jpg,Deformación,Parachoques delantero,Reparar,2,33,1
29.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
30.jpg,Abolladura,Capó ,Reparar,1,3,1
30.jpg,Deformación,Guardabarros delantero derecho ,Reparar,2,11,1
30.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
30.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
31.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
32.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
32.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
32.jpg,Rotura,Luz indicadora delantera izquierda,Reemplazar,6,16,2
33.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
34.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
35.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
36.jpg,Rotura,Rueda ,Reparar,6,40,1
37.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
38.jpg,Rotura,Parabrisas trasero,Reemplazar,6,32,2
39.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
40.jpg,Deformación,Marco de las puertas,Reparar,2,25,1
41.jpg,Abolladura,Capó ,Reparar,1,3,1
41.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
42.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
43.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
44.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
44.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
45.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
46.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
46.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
47.jpg,Rotura,Rueda ,Reparar,6,40,1
48.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
49.jpg,Rotura,Ventana trasera izquierda,Reemplazar,6,48,2
50.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
51.jpg,Rotura,Rueda ,Reparar,6,40,1
52.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
53.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
53.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
54.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
55.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
56.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
57.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
57.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
58.jpg,Rayón,Guardabarros delantero derecho ,Reparar,5,11,1
59.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
60.jpg,Deformación,Guardabarros delantero izquierdo ,Reparar,2,12,1
60.jpg,Deformación,Capó ,Reparar,2,3,1
60.jpg,Rotura,Espejo lateral izquierdo,Reemplazar,6,8,2
60.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
61.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
61.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
62.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
63.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
64.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
65.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
65.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
66.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
67.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
67.jpg,Rotura,Antiniebla delantero derecho,Reemplazar,6,1,2
68.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
69.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
70.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
71.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
72.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
73.jpg,Abolladura,Capó ,Reparar,1,3,1
73.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
74.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
75.jpg,Deformación,Guardabarros delantero izquierdo ,Reparar,2,12,1
75.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
76.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
77.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
78.jpg,Abolladura,Capó ,Reparar,1,3,1
78.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
78.jpg,Deformación,Guardabarros delantero izquierdo ,Reparar,2,12,1
79.jpg,Deformación,Puerta delantera izquierda,Reparar,2,36,1
79.jpg,Deformación,Puerta trasera izquierda,Reparar,2,38,1
80.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
81.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
82.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
83.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
84.jpg,Deformación,Guardabarros delantero izquierdo ,Reparar,2,12,1
84.jpg,Rotura,Rueda ,Reparar,6,40,1
85.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
86.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
87.jpg,Rayón,Guardabarros delantero derecho ,Reparar,5,11,1
88.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
89.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
90.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
90.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
90.jpg,Deformación,Maletero,Reparar,2,21,1
90.jpg,Rotura,Luz trasera izquierdo,Reparar,6,20,1
91.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
92.jpg,Deformación,Parachoques trasero,Reparar,2,34,1
92.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
93.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
94.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
95.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
96.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
97.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
97.jpg,Deformación,Capó ,Reparar,2,3,1
97.jpg,Fractura,"Rejilla, parrilla",Reemplazar,4,39,2
97.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
98.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
98.jpg,Rayón,Guardabarros delantero derecho ,Reparar,5,11,1
99.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
100.jpg,Deformación,Guardabarros delantero derecho ,Reparar,2,11,1
100.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
100.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
101.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
102.jpg,Fractura,Parachoques trasero,Reparar,4,34,1
103.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
104.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
105.jpg,Rotura,Ventana delantera derecha,Reemplazar,6,45,2
106.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
106.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
106.jpg,Deformación,Puerta delantera derecha,Reparar,2,35,1
107.jpg,Rotura,Rueda ,Reparar,6,40,1
108.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
109.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
109.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
110.jpg,Rayón,Puerta delantera derecha,Reparar,5,35,1
111.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
111.jpg,Rayón,Guardabarros delantero derecho ,Reparar,5,11,1
112.jpg,Abolladura,Marco de la ventana,Reparar,1,24,1
112.jpg,Rayón,Puerta trasera izquierda,Reparar,5,38,1
113.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
113.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
113.jpg,Rotura,Antiniebla delantero izquierdo,Reemplazar,6,2,2
114.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
115.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
116.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
116.jpg,Rotura,Parachoques trasero,Reemplazar,6,34,2
117.jpg,Deformación,Guardabarros trasero derecho,Reparar,2,13,1
117.jpg,Desprendimiento,Parachoques trasero,Reparar,3,34,1
117.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
118.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
119.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
120.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
120.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
121.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
122.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
122.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
122.jpg,Deformación,Capó ,Reparar,2,3,1
122.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
123.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
124.jpg,Rotura,Ventana delantera izquierda,Reemplazar,6,46,2
125.jpg,Rotura,Ventana delantera derecha,Reemplazar,6,45,2
126.jpg,Deformación,Capó ,Reemplazar,2,3,2
127.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
128.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
128.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
128.jpg,Abolladura,Capó ,Reparar,1,3,1
128.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
129.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
130.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
130.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
131.jpg,Rayón,Puerta delantera derecha,Reparar,5,35,1
132.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
133.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
134.jpg,Rayón,Parabrisas trasero,Reparar,5,32,1
135.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
135.jpg,Deformación,Guardabarros trasero izquierdo,Reparar,2,14,1
135.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
136.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
137.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
138.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
139.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
140.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
141.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
142.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
142.jpg,Abolladura,Capó ,Reparar,1,3,1
142.jpg,Fractura,Parachoques delantero,Reemplazar,4,33,2
142.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
143.jpg,Rotura,Ventanilla trasera izquierda      ,Reemplazar,6,52,2
144.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
145.jpg,Rayón,Puerta trasera izquierda,Reparar,5,38,1
145.jpg,Rayón,Guardabarros trasero izquierdo,Reparar,5,14,1
146.jpg,Rayón,Guardabarros trasero izquierdo,Reparar,5,14,1
147.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
148.jpg,Rotura,Rueda ,Reparar,6,40,1
149.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
150.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
151.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
152.jpg,Rayón,Puerta trasera izquierda,Reparar,5,38,1
152.jpg,Rayón,Guardabarros trasero izquierdo,Reparar,5,14,1
153.jpg,Abolladura,Capó ,Reparar,1,3,1
153.jpg,Deformación,Guardabarros delantero izquierdo ,Reemplazar,2,12,2
153.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
153.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
154.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
154.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
154.jpg,Deformación,Guardabarros delantero derecho ,Reemplazar,2,11,2
155.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
156.jpg,Rotura,Rueda ,Reparar,6,40,1
157.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
158.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
158.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
159.jpg,Rotura,Rueda ,Reparar,6,40,1
160.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
161.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
161.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
162.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
163.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
164.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
165.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
166.jpg,Rayón,Guardabarros delantero derecho ,Reparar,5,11,1
167.jpg,Rotura,Ventana delantera izquierda,Reemplazar,6,46,2
168.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
169.jpg,Abolladura,Maletero,Reparar,1,21,1
170.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
171.jpg,Rotura,Ventana delantera izquierda,Reemplazar,6,46,2
172.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
173.jpg,Deformación,Capó ,Reemplazar,2,3,2
173.jpg,Rotura,Parachoques delantero,Reemplazar,6,33,2
173.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
173.jpg,Rotura,"Rejilla, parrilla",Reemplazar,6,39,2
174.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
174.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
174.jpg,Rotura,Rueda ,Reparar,6,40,1
175.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
176.jpg,Deformación,Capó ,Reemplazar,2,3,2
176.jpg,Desprendimiento,Guardabarros delantero izquierdo ,Reemplazar,3,12,2
176.jpg,Desprendimiento,Parachoques delantero,Reemplazar,3,33,2
176.jpg,Desprendimiento,"Rejilla, parrilla",Reemplazar,3,39,2
177.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
178.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
178.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
178.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
178.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
179.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
180.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
181.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
182.jpg,Desprendimiento,Parachoques delantero,Reemplazar,3,33,2
182.jpg,Rayón,Capó ,Reparar,5,3,1
183.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
184.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
185.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
185.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
186.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
187.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
188.jpg,Rotura,Rueda ,Reparar,6,40,1
189.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
190.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
191.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
192.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
193.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
194.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
195.jpg,Abolladura,Capó ,Reparar,1,3,1
195.jpg,Deformación,Techo ,Reparar,2,43,1
195.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
196.jpg,Deformación,Capó ,Reparar,2,3,1
196.jpg,Fractura,Parachoques delantero,Reemplazar,4,33,2
196.jpg,Fractura,"Rejilla, parrilla",Reemplazar,4,39,2
197.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
198.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
198.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
199.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
200.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
201.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
202.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
203.jpg,Abolladura,Maletero,Reparar,1,21,1
204.jpg,Rayón,Maletero,Reparar,5,21,1
205.jpg,Deformación,Puerta delantera izquierda,Reemplazar,2,36,2
206.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
207.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
208.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
209.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
210.jpg,Rayón,Guardabarros trasero izquierdo,Reparar,5,14,1
210.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
211.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
211.jpg,Desprendimiento,Guardabarros delantero derecho ,Reparar,3,11,1
212.jpg,Rotura,Ventana trasera derecha,Reemplazar,6,47,2
213.jpg,Deformación,Puerta delantera izquierda,Reemplazar,2,36,2
214.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
215.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
216.jpg,Abolladura,Maletero,Reparar,1,21,1
217.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
218.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
219.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
219.jpg,Deformación,Puerta delantera izquierda,Reemplazar,2,36,2
219.jpg,Deformación,Marco de las puertas,Reparar,2,25,1
220.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
221.jpg,Desprendimiento,Guardabarros delantero izquierdo ,Reemplazar,3,12,2
221.jpg,Rotura,Rueda ,Reemplazar,6,40,2
222.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
223.jpg,Rayón,Puerta delantera derecha,Reparar,5,35,1
224.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
225.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
226.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
227.jpg,Rotura,Rueda ,Reparar,6,40,1
228.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
229.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
229.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
229.jpg,Rotura,Rueda ,Reparar,6,40,1
230.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
231.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
231.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
232.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
233.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
234.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
235.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
236.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
237.jpg,Rotura,Rueda ,Reparar,6,40,1
238.jpg,Rayón,Guardabarros trasero derecho,Reparar,5,13,1
239.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
239.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
240.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
240.jpg,Rotura,Rueda ,Reparar,6,40,1
241.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
241.jpg,Abolladura,Capó ,Reparar,1,3,1
241.jpg,Deformación,Guardabarros delantero derecho ,Reemplazar,2,11,2
241.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
242.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
242.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
242.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
242.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
243.jpg,Rotura,Ventana trasera derecha,Reemplazar,6,47,2
244.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
245.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
245.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
245.jpg,Abolladura,Capó ,Reparar,1,3,1
245.jpg,Desprendimiento,Espejo lateral izquierdo,Reemplazar,3,8,2
245.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
246.jpg,Rayón,Guardabarros delantero derecho ,Reparar,5,11,1
247.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
248.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
249.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
249.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
250.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
250.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
251.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
251.jpg,Abolladura,Capó ,Reparar,1,3,1
251.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
251.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
252.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
253.jpg,Rotura,Parachoques delantero,Reemplazar,6,33,2
254.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
254.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
255.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
256.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
257.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
258.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
258.jpg,Desprendimiento,Parachoques trasero,Reparar,3,34,1
258.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
259.jpg,Rotura,Rueda ,Reparar,6,40,1
260.jpg,Rotura,Parabrisas trasero,Reemplazar,6,32,2
261.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
262.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
262.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
263.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
263.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
263.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
264.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
265.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
266.jpg,Rotura,Ventanilla trasera izquierda      ,Reemplazar,6,52,2
267.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
267.jpg,Rotura,Parachoques delantero,Reemplazar,6,33,2
268.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
269.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
269.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
270.jpg,Rotura,Parabrisas trasero,Reemplazar,6,32,2
271.jpg,Rotura,Rueda ,Reparar,6,40,1
272.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
273.jpg,Rotura,Ventana delantera derecha,Reemplazar,6,45,2
274.jpg,Rotura,Rueda ,Reemplazar,6,40,2
274.jpg,Rotura,Guardabarros delantero derecho ,Reemplazar,6,11,2
274.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
275.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
276.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
276.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
276.jpg,Rotura,Parachoques delantero,Reemplazar,6,33,2
277.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
